City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Quetta,PK,2021-02-06 19:10:44,30.199,67.0097,281.75,40,0,0.24
183,Gorontalo,ID,2021-02-06 19:10:44,0.5412,123.0595,296.75,88,100,1.44
184,Grand Gaube,MU,2021-02-06 19:10:44,-20.0064,57.6608,299.82,80,0,1.79
185,Flin Flon,CA,2021-02-06 19:10:03,54.7682,-101.865,241.15,62,1,3.6
186,Kokkola,FI,2021-02-06 19:10:44,63.8385,23.1307,268.71,85,20,1.54
187,Golden,US,2021-02-06 19:10:44,39.7555,-105.2211,279.82,24,75,11.83
188,Santiago Del Estero,AR,2021-02-06 19:09:27,-27.7951,-64.2615,306.48,35,0,1.79
189,Xingcheng,CN,2021-02-06 19:10:45,40.6167,120.7167,268.36,78,0,5.09
190,Waddan,LY,2021-02-06 19:10:45,29.1614,16.139,293.14,24,0,4.24
191,Si Racha,TH,2021-02-06 19:10:45,13.1737,100.9311,301.48,61,30,1.6
192,Naze,JP,2021-02-06 19:10:45,28.3667,129.4833,289.12,81,98,3.65
193,Gaya,IN,2021-02-06 19:10:45,24.7833,85.0,287.15,88,40,2.22
194,Kieta,PG,2021-02-06 19:10:45,-6.2167,155.6333,299.63,79,58,3.51
195,Ankang,CN,2021-02-06 19:10:45,32.68,109.0172,283.71,29,98,2.24
196,Chernoyerkovskaya,RU,2021-02-06 19:10:46,45.4331,37.7686,273.15,86,100,5.0
197,Qarqin,AF,2021-02-06 19:10:46,37.4185,66.0436,286.92,36,55,2.26
198,Areosa,PT,2021-02-06 19:10:46,41.7178,-8.8571,283.15,71,20,5.66
199,Lorengau,PG,2021-02-06 19:10:46,-2.0226,147.2712,300.79,76,91,1.65
200,Carta,RO,2021-02-06 19:10:46,46.5333,25.75,272.04,74,100,1.27
201,Auki,SB,2021-02-06 19:10:46,-8.7676,160.7034,299.3,85,100,4.69
202,Iqaluit,CA,2021-02-06 19:10:46,63.7506,-68.5145,269.15,86,90,7.72
203,Melchor De Mencos,GT,2021-02-06 19:10:46,17.0686,-89.1522,303.15,62,0,3.09
204,Goderich,CA,2021-02-06 19:10:46,43.7501,-81.7165,266.15,63,100,9.26
205,Griffith,US,2021-02-06 19:10:47,41.5284,-87.4237,264.26,53,40,5.14
206,Manaure,CO,2021-02-06 19:10:47,11.7751,-72.4445,304.02,44,97,10.76
207,Marsa Matruh,EG,2021-02-06 19:06:01,31.3525,27.2453,288.15,82,0,2.06
208,Den Helder,NL,2021-02-06 19:10:47,52.9599,4.7593,273.71,80,90,12.86
209,Ryotsu,JP,2021-02-06 19:10:47,38.0833,138.4333,281.34,70,12,7.39
210,Miles City,US,2021-02-06 19:09:53,46.4083,-105.8406,256.15,60,1,3.6
211,Mumbwa,ZM,2021-02-06 19:10:47,-14.9783,27.0619,292.95,94,100,1.29
212,Honiara,SB,2021-02-06 19:10:47,-9.4333,159.95,298.85,85,100,3.79
213,Guerrero Negro,MX,2021-02-06 19:10:47,27.9769,-114.0611,293.86,40,0,1.87
214,Cockburn Town,TC,2021-02-06 19:08:54,21.4612,-71.1419,301.15,65,40,7.2
215,Bulgan,MN,2021-02-06 19:10:48,48.8125,103.5347,256.19,81,0,1.15
216,Gobabis,NA,2021-02-06 19:10:48,-22.45,18.9667,298.8,42,6,4.61
217,Yumen,CN,2021-02-06 19:10:48,40.2833,97.2,270.07,73,90,0.45
218,Beringovskiy,RU,2021-02-06 19:10:48,63.05,179.3167,250.66,88,4,3.64
219,Khorramshahr,IR,2021-02-06 19:10:48,30.4397,48.1664,290.15,77,40,3.09
220,Luorong,CN,2021-02-06 19:10:48,24.4058,109.6086,292.44,54,0,1.4
221,Lotofaga,WS,2021-02-06 19:10:48,-13.9764,-171.8578,299.82,83,100,8.49
222,Tovarkovo,RU,2021-02-06 19:10:48,54.6762,35.9386,257.15,72,98,5.0
223,Yulara,AU,2021-02-06 19:10:49,-25.2406,130.9889,297.15,31,0,4.63
224,Artyom,AZ,2021-02-06 19:10:49,40.4723,50.333,280.15,87,75,6.17
225,Los Llanos De Aridane,ES,2021-02-06 19:10:49,28.6585,-17.9182,291.15,59,20,4.12
226,Morondava,MG,2021-02-06 19:10:49,-20.2833,44.2833,301.02,79,100,1.86
227,Velez-Malaga,ES,2021-02-06 19:10:28,36.7726,-4.1005,286.48,57,1,3.25
228,Pangody,RU,2021-02-06 19:10:49,65.85,74.4859,242.37,86,47,5.76
229,Manta,EC,2021-02-06 19:08:06,-0.95,-80.7333,302.15,74,40,2.57
230,Itacarambi,BR,2021-02-06 19:10:49,-15.1022,-44.0919,298.42,66,100,2.24
231,Koge,DK,2021-02-06 19:10:49,55.458,12.1821,268.15,68,13,3.09
232,Kahului,US,2021-02-06 19:06:55,20.8947,-156.47,294.15,68,20,1.57
233,Takoradi,GH,2021-02-06 19:10:50,4.8845,-1.7554,300.28,84,0,5.12
234,Maragogi,BR,2021-02-06 19:10:50,-9.0122,-35.2225,301.42,66,85,5.75
235,Saint-Philippe,RE,2021-02-06 19:10:50,-21.3585,55.7679,299.26,83,75,1.54
236,Seymchan,RU,2021-02-06 19:10:50,62.8833,152.4333,243.65,85,97,0.47
237,Provideniya,RU,2021-02-06 19:10:51,64.3833,-173.3,255.62,91,95,2.58
238,Urumqi,CN,2021-02-06 19:10:51,43.801,87.6005,260.15,92,40,1.0
239,Ust-Ishim,RU,2021-02-06 19:10:51,57.6935,71.1665,274.1,93,100,5.41
240,Barra Do Garcas,BR,2021-02-06 19:10:51,-15.89,-52.2567,299.15,89,40,3.09
241,Tombouctou,ML,2021-02-06 19:10:51,20.0,-3.0,299.43,18,100,5.1
242,Haines Junction,CA,2021-02-06 19:09:53,60.7522,-137.5108,241.15,68,100,0.51
243,Ayan,RU,2021-02-06 19:10:51,56.45,138.1667,252.02,86,100,7.55
244,Bengkulu,ID,2021-02-06 19:10:51,-3.8004,102.2655,297.8,78,99,2.25
245,Petropavlovsk-Kamchatskiy,RU,2021-02-06 19:10:51,53.0452,158.6483,269.15,63,100,11.0
246,Quixere,BR,2021-02-06 19:10:51,-5.0742,-37.9886,307.42,35,4,5.9
247,Samarkand,UZ,2021-02-06 19:10:51,39.6542,66.9597,284.15,58,75,1.03
248,Adelaide,AU,2021-02-06 19:07:01,-34.9333,138.6,290.37,82,75,3.6
249,Tommot,RU,2021-02-06 19:10:52,58.9564,126.2925,242.97,82,97,0.62
250,Nemuro,JP,2021-02-06 19:10:52,43.3236,145.575,269.86,98,100,5.61
251,Bayir,TR,2021-02-06 19:10:52,37.2687,28.2167,283.15,100,0,1.54
252,Prado,BR,2021-02-06 19:10:52,-17.3411,-39.2208,299.8,87,100,5.24
253,Severo-Kurilsk,RU,2021-02-06 19:10:52,50.6789,156.125,266.85,94,100,6.87
254,Moyobamba,PE,2021-02-06 19:10:17,-6.05,-76.9667,297.35,85,100,0.41
255,Nalut,LY,2021-02-06 19:10:52,30.3333,10.85,293.75,22,99,5.68
256,Mocuba,MZ,2021-02-06 19:10:52,-16.8392,36.9856,297.78,89,100,1.41
257,Cam Ranh,VN,2021-02-06 19:10:52,11.9214,109.1591,297.15,78,40,5.66
258,Havoysund,NO,2021-02-06 19:10:53,70.9963,24.6622,270.15,63,75,6.17
259,Shimoda,JP,2021-02-06 19:10:53,34.6667,138.95,282.67,57,0,4.53
260,Vestmannaeyjar,IS,2021-02-06 19:10:53,63.4427,-20.2734,276.15,75,20,12.86
261,Buraydah,SA,2021-02-06 19:10:53,26.326,43.975,284.15,100,75,3.09
262,Sampit,ID,2021-02-06 19:10:53,-2.5333,112.95,296.93,96,100,0.84
263,Ise,JP,2021-02-06 19:10:53,34.4833,136.7,280.93,78,0,0.45
264,Turinsk,RU,2021-02-06 19:10:53,58.0458,63.696,274.37,98,100,3.81
265,Debre Tabor,ET,2021-02-06 19:10:54,11.85,38.0167,282.6,47,9,0.52
266,Dwarka,IN,2021-02-06 19:10:54,22.2394,68.9678,294.08,43,0,5.56
267,Oranjestad,AW,2021-02-06 19:10:54,12.524,-70.027,302.15,61,20,10.8
268,Izumo,JP,2021-02-06 19:10:54,35.3667,132.7667,277.15,100,20,2.06
269,Carutapera,BR,2021-02-06 19:10:54,-1.195,-46.02,303.97,59,78,4.5
270,Ruteng,ID,2021-02-06 19:10:13,-8.6136,120.4721,290.51,98,65,0.66
271,Lakes Entrance,AU,2021-02-06 19:10:54,-37.8811,147.981,288.71,88,5,6.71
272,Dno,RU,2021-02-06 19:10:54,57.8277,29.9637,257.68,94,91,2.83
273,Kaitangata,NZ,2021-02-06 19:10:54,-46.2817,169.8464,284.39,89,5,1.4
274,Pochutla,MX,2021-02-06 19:10:55,15.7432,-96.4661,301.48,65,75,7.72
275,Kungurtug,RU,2021-02-06 19:10:55,50.5994,97.5228,255.4,86,85,0.9
276,Severo-Yeniseyskiy,RU,2021-02-06 19:10:14,60.3725,93.0408,262.86,95,100,5.56
277,East London,ZA,2021-02-06 19:08:11,-33.0153,27.9116,296.15,94,20,1.03
278,Preobrazheniye,RU,2021-02-06 19:10:55,42.9019,133.9064,265.49,89,100,3.78
279,Lompoc,US,2021-02-06 19:10:55,34.6391,-120.4579,292.15,42,1,1.43
280,Dikson,RU,2021-02-06 19:10:55,73.5069,80.5464,239.53,86,90,4.68
281,Hamilton,US,2021-02-06 19:10:55,39.1834,-84.5333,274.82,40,40,1.54
282,Palora,EC,2021-02-06 19:10:55,-1.7,-77.9333,293.15,94,90,2.06
283,Harrisonburg,US,2021-02-06 19:10:56,38.4496,-78.8689,281.15,36,1,4.63
284,Vao,NC,2021-02-06 19:10:56,-22.6667,167.4833,298.4,86,0,3.89
285,Dingle,PH,2021-02-06 19:10:56,10.9995,122.6711,296.74,92,77,3.08
286,Wenling,CN,2021-02-06 19:10:56,28.3669,121.36,288.71,84,54,0.15
287,Okahandja,NA,2021-02-06 19:10:56,-21.9833,16.9167,299.15,29,56,1.54
288,Myitkyina,MM,2021-02-06 19:10:56,25.3833,97.4,288.08,54,0,1.35
289,Chokurdakh,RU,2021-02-06 19:10:56,70.6333,147.9167,244.17,87,61,3.79
290,Noumea,NC,2021-02-06 19:10:56,-22.2763,166.4572,298.15,94,75,1.03
291,Mpika,ZM,2021-02-06 19:10:56,-11.8343,31.4529,290.88,97,64,1.64
292,Zaporizhzhya,UA,2021-02-06 19:10:56,47.8167,35.1833,268.15,80,0,3.0
293,Wlingi,ID,2021-02-06 19:10:57,-8.0776,112.3311,296.12,86,81,3.19
